ElementId,Category,FamilyAndType,Mark,LocationType,FacingAngle_deg,Model_X_ft,Model_Y_ft,Model_Z_ft,Tag_U_ft,Tag_V_ft,ViewLocal_U_ft,ViewLocal_V_ft,BBox_Min_X,BBox_Min_Y,BBox_Max_X,BBox_Max_Y
619340,Walls,"Exterior - 13 5/8"" Rainscreen (Two Sides) w Insultation on Metal Stud",,CurveMidpt,,-110.9323,9.1581,-5.9167,-110.9323,9.1581,-110.9323,9.1581,-111.5000,-0.1681,-110.3646,18.7083
619404,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,43.2500,-5.9167,-105.5625,43.2500,-105.5625,43.2500,-111.5000,42.7500,-99.6250,43.7500
619550,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud (Alley)",,CurveMidpt,,67.4207,3.2773,0.0000,67.4207,3.2773,67.4207,3.2773,63.1901,-24.9650,71.6514,31.5195
620048,Walls,"Foundation - 24"" Concrete",,CurveMidpt,,56.0604,-28.5577,-16.9167,56.0604,-28.5577,56.0604,-28.5577,40.2500,-31.6478,71.0075,-25.6156
620883,Stairs,Stair,,BBoxCenter,,-104.8125,33.7083,-11.2971,-104.8125,33.7083,-104.8125,33.7083,-109.0000,25.6875,-100.6250,41.7292
621361,Railings,_IBC-Pipe-Plate Stringer (Extension None),,BBoxCenter,,-103.1615,29.7396,-9.4167,-103.1615,29.7396,-103.1615,29.7396,-105.5521,24.3021,-100.7708,35.1771
621365,Railings,Pipe-Wall Mount,,BBoxCenter,,-108.9896,29.3542,-8.1875,-108.9896,29.3542,-108.9896,29.3542,-109.7256,23.5208,-108.2535,35.1875
622037,Stairs,Stair,,BBoxCenter,,-104.8125,33.6979,1.0833,-104.8125,33.6979,-104.8125,33.6979,-109.0000,25.6875,-100.6250,41.7083
622056,Railings,_IBC-Pipe-Plate Stringer (Extension None),,BBoxCenter,,-104.8125,31.2135,3.0768,-104.8125,31.2135,-104.8125,31.2135,-105.5521,24.5000,-104.0729,37.9271
622060,Railings,Pipe-Wall Mount,,BBoxCenter,,-108.9896,30.7292,0.3692,-108.9896,30.7292,-108.9896,30.7292,-109.7256,23.5208,-108.2535,37.9375
628378,Railings,_IBC-Pipe-Plate Stringer (Extension None),,BBoxCenter,,-104.8125,24.5729,-3.9232,-104.8125,24.5729,-104.8125,24.5729,-105.5521,23.6875,-104.0729,25.4583
630930,Walls,"Chase - GWB & Metal Stud 4 1/4""",,CurveMidpt,,-109.1771,31.2292,-16.9167,-109.1771,31.2292,-109.1771,31.2292,-109.3542,19.2083,-109.0000,43.2500
631497,Doors,"36"" x 84""",S11A,Point,90.0000,-100.1250,21.8750,-5.9167,-100.1250,21.8750,-100.1250,21.8750,-100.6667,20.2083,-96.7083,23.6042
660424,Walls,"Core - Concrete 18""",,CurveMidpt,,41.0000,-14.0667,-16.9167,41.0000,-14.0667,41.0000,-14.0667,40.2500,-30.5083,41.7500,2.3750
674522,Walls,"Core - Concrete 12""",,CurveMidpt,,-100.1250,30.7161,-5.9167,-100.1250,30.7161,-100.1250,30.7161,-100.6250,18.7083,-99.6250,42.2240
674794,Walls,"Core - Concrete 12""",,CurveMidpt,,-105.5625,19.2083,-5.9167,-105.5625,19.2083,-105.5625,19.2083,-111.5000,18.7083,-100.1250,19.7083
675232,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,41.2500,22.5495,0.0000,41.2500,22.5495,41.2500,22.5495,40.7604,2.8750,41.7396,42.2240
676281,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,3.2760,39.2630,-3.4583,3.2760,39.2630,3.2760,39.2630,2.7500,35.7760,3.8021,42.7500
676300,Walls,"Party - 6 1/8"" (2-hr)",,CurveMidpt,,-20.2500,4.2016,-3.4583,-20.2500,4.2016,-20.2500,4.2016,-20.7396,-28.1750,-19.7604,36.3021
676634,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-17.9844,36.3021,-3.4583,-17.9844,36.3021,-17.9844,36.3021,-39.3750,35.7760,3.2760,36.8281
676715,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,58.8098,36.2240,0.0000,58.8098,36.2240,58.8098,36.2240,54.0104,35.6979,63.0832,36.7500
676755,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,54.5365,39.2240,0.0000,54.5365,39.2240,54.5365,39.2240,54.0104,36.2240,55.0625,42.2240
678093,Doors,"36"" x 84"" (Exterior)",109D,Point,270.0000,54.5365,38.7500,0.0000,54.5365,38.7500,54.5365,38.7500,53.9687,37.0208,57.9792,40.4167
678361,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,22.2914,42.2240,-3.4583,22.2914,42.2240,22.2914,42.2240,3.2760,41.6979,41.3067,42.7500
678407,Walls,"Core - Concrete 10""",,CurveMidpt,,3.5000,23.7370,-3.4583,3.5000,23.7370,3.5000,23.7370,3.0833,18.8750,3.9167,28.1823
679356,Walls,"Foundation - 24"" Concrete",,CurveMidpt,,0.7159,41.7500,-16.9167,0.7159,41.7500,0.7159,41.7500,-39.8750,40.7500,41.3067,42.7500
684173,Walls,"Core - Concrete 12""",,CurveMidpt,,50.6250,-11.8750,0.0000,50.6250,-11.8750,50.6250,-11.8750,50.1250,-26.1250,51.1250,2.3750
684256,Walls,"Core - Concrete 12""",,CurveMidpt,,45.8125,2.3750,-16.9167,45.8125,2.3750,45.8125,2.3750,40.2500,1.8750,50.6250,2.8750
686974,Walls,"Chase - GWB & Metal Stud 6 5/8""",,CurveMidpt,,42.2144,-30.1941,0.0000,42.2144,-30.1941,42.2144,-30.1941,41.2414,-30.5911,43.3753,-29.7628
687063,Walls,"Core - Concrete 12""",,CurveMidpt,,45.9375,-26.1250,0.0000,45.9375,-26.1250,45.9375,-26.1250,40.7500,-26.6250,51.1250,-25.6250
687200,Walls,"Exterior - 5 3/8"" Rainscreen w Insultation (for Concrete Core Walls)",,CurveMidpt,,43.1514,-28.0979,0.0000,43.1514,-28.0979,43.1514,-28.0979,42.9274,-30.0707,43.3753,-26.1250
688457,Stairs,Stair,,BBoxCenter,,45.9375,-8.8750,-8.2726,45.9375,-8.8750,45.9375,-8.8750,41.7500,-19.6250,50.1250,1.8750
695423,Stairs,Stair,,BBoxCenter,,43.6042,-8.9792,4.2272,43.6042,-8.9792,43.6042,-8.9792,41.7500,-14.9375,45.4583,-3.0208
695514,Railings,_IBC-Pipe-Plate Stringer (Extension None),,BBoxCenter,,45.3542,-9.4375,6.0977,45.3542,-9.4375,45.3542,-9.4375,45.1979,-16.1250,45.5104,-2.7500
695518,Railings,Pipe-Wall Mount,,BBoxCenter,,41.7604,-9.4375,6.7500,41.7604,-9.4375,41.7604,-9.4375,41.0244,-17.1042,42.4965,-1.7708
695738,Railings,_IBC-Pipe-Plate Stringer (Extension None),,BBoxCenter,,45.9375,-13.4479,1.7917,45.9375,-13.4479,45.9375,-13.4479,45.1979,-16.7708,46.6771,-10.1250
697096,Walls,"Exterior - 14 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-49.6406,-8.6719,-3.4583,-49.6406,-8.6719,-49.6406,-8.6719,-50.2500,-26.4167,-49.0312,9.5000
697693,Walls,"Core - Concrete 12""",,CurveMidpt,,-111.0000,31.2292,-5.9167,-111.0000,31.2292,-111.0000,31.2292,-111.5000,19.2083,-110.5000,43.2500
697710,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-74.9375,42.2240,-5.9167,-74.9375,42.2240,-74.9375,42.2240,-100.1250,41.6979,-49.7500,42.7500
725419,Walls,"Interior - 7 1/4"" Partition (NR)",,CurveMidpt,,-12.9583,18.9167,-3.4583,-12.9583,18.9167,-12.9583,18.9167,-20.2500,18.6146,-5.6667,19.2188
735382,Walls,"Core - Concrete 10""",,CurveMidpt,,-1.3568,19.2917,-3.4583,-1.3568,19.2917,-1.3568,19.2917,-6.2135,18.8750,3.5000,19.7083
735544,Walls,"Interior - 6 1/8"" Partition (2-hr)",,CurveMidpt,,-90.3073,22.0833,-5.9167,-90.3073,22.0833,-90.3073,22.0833,-90.5625,19.0885,-90.0521,25.2083
735573,Walls,"Exterior - 10 1/4"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-70.0599,9.0729,-5.9167,-70.0599,9.0729,-70.0599,9.0729,-90.4792,8.6458,-49.6406,9.5000
736143,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-57.1380,36.2240,-5.9167,-57.1380,36.2240,-57.1380,36.2240,-65.5521,35.6979,-49.2500,36.7500
736187,Walls,"Exterior - 12 5/8"" Rainscreen w Insultation on Metal Stud",,CurveMidpt,,-65.0260,39.2240,-5.9167,-65.0260,39.2240,-65.0260,39.2240,-65.5521,36.2240,-64.5000,42.2240
737269,Walls,"Interior - 4 7/8"" Partition (1-hr)",,CurveMidpt,,-54.4010,28.8699,-5.9167,-54.4010,28.8699,-54.4010,28.8699,-54.6042,21.5159,-54.1979,36.2240
737373,Walls,"Interior - 7 1/4"" Partition (1 hr)",,CurveMidpt,,-65.2500,28.3073,-5.9167,-65.2500,28.3073,-65.2500,28.3073,-65.5521,20.3906,-64.9479,36.2240
738934,Walls,"Interior - 4 7/8"" Partition (1-hr)",,CurveMidpt,,-80.3880,25.2448,-5.9167,-80.3880,25.2448,-80.3880,25.2448,-90.4583,25.0417,-70.1146,25.4479
